time;WECCPVVSource_photovoltaicsV_wecc_reec_PInjPu;WECCPVVSource_photovoltaicsV_wecc_reec_QInjPu;WECCPVVSource_photovoltaicsV_injector_terminal_V_re;WECCPVVSource_photovoltaicsV_injector_terminal_i_re;WECCPVVSource_photovoltaicsV_injector_terminal_V_im;WECCPVVSource_photovoltaicsV_injector_terminal_i_im;WECCPVVSource_photovoltaicsV_pll_omegaPLLPu;
1.0140266236;0.4374400281;0.5723141909;0.6868543660;-0.8748800562;0.2187218216;0.7474112871;0.9999998308;
1.0140366236;0.4373941075;0.5719123685;0.6867239640;-0.8747882151;0.2186988612;0.7468896835;0.9999998311;
1.0140566236;0.4373024271;0.5711090948;0.6864634187;-0.8746048542;0.2186530206;0.7458475107;0.9999998315;
1.0140966236;0.4371203335;0.5695100160;0.6859435909;-0.8742406670;0.2185619730;0.7437682167;0.9999998324;
1.0141766236;0.4367604068;0.5663314316;0.6849090463;-0.8735208136;0.2183820082;0.7396300727;0.9999998343;
1.0143366236;0.4360580615;0.5600583642;0.6828604814;-0.8721161230;0.2180308326;0.7314358808;0.9999998379;
1.0146566236;0.4347219366;0.5478423427;0.6788445695;-0.8694438732;0.2173627647;0.7153723659;0.9999998452;
1.0152966236;0.4323125318;0.5246814224;0.6711304538;-0.8646250637;0.2161580523;0.6845161580;0.9999998598;
1.0165766236;0.4284612027;0.4830719232;0.6569157990;-0.8569224054;0.2142323718;0.6276580088;0.9999998882;
1.0178566236;0.4257977224;0.4472063877;0.6442465094;-0.8515954448;0.2129006207;0.5769812692;0.9999999148;
1.0191276627;0.4242081957;0.4166665901;0.6330965739;-0.8484163914;0.2121058508;0.5323818959;0.9999999391;
1.0191276627;0.4242093497;0.4166797961;0.6330966123;-0.8484186993;0.2121064277;0.5323820494;0.9999999391;
1.0191282562;0.4242088565;0.4166667020;0.6330917441;-0.8484177128;0.2121061811;0.5323625767;0.9999999391;
1.0191282562;0.4242088567;0.4166667404;0.6330917441;-0.8484177131;0.2121061812;0.5323625767;0.9999999391;
1.0191282579;0.4242088552;0.4166667023;0.6330917299;-0.8484177102;0.2121061805;0.5323625200;0.9999999391;
1.0191282579;0.4242088552;0.4166667023;0.6330917299;-0.8484177102;0.2121061805;0.5323625200;0.9999999391;
1.0191282597;0.4242088538;0.4166666642;0.6330917158;-0.8484177073;0.2121061797;0.5323624634;0.9999999391;
1.0191282597;0.4242088538;0.4166666642;0.6330917158;-0.8484177073;0.2121061797;0.5323624634;0.9999999391;
1.0191382597;0.4242005461;0.4164460036;0.6330096914;-0.8484010922;0.2121020259;0.5320343685;0.9999999393;
1.0191482597;0.4241922966;0.4162256214;0.6329277490;-0.8483845931;0.2120979011;0.5317066018;0.9999999395;
1.0191682597;0.4241759358;0.4157855493;0.6327640635;-0.8483518717;0.2120897207;0.5310518652;0.9999999399;
1.0192082597;0.4241438890;0.4149086584;0.6324376495;-0.8482877781;0.2120736972;0.5297462201;0.9999999406;
1.0192882597;0.4240825275;0.4131680137;0.6317886996;-0.8481650551;0.2120430162;0.5271504418;0.9999999421;
1.0194482597;0.4239707752;0.4097393859;0.6305064115;-0.8479415505;0.2119871395;0.5220213317;0.9999999449;
1.0197682597;0.4237906217;0.4030901647;0.6280039052;-0.8475812434;0.2118970620;0.5120113895;0.9999999506;
1.0204082597;0.4235992599;0.3906014790;0.6232434341;-0.8471985197;0.2118013803;0.4929696621;0.9999999615;
1.0216882597;0.4238583284;0.3686834200;0.6146669756;-0.8477166568;0.2119309157;0.4586641119;0.9999999819;
1.0229682597;0.4249332905;0.3505768210;0.6073023583;-0.8498665809;0.2124684011;0.4292058861;1.0000000007;
1.0242482597;0.4267717726;0.3359587755;0.6010806574;-0.8535435451;0.2133876498;0.4043192880;1.0000000181;
1.0246823029;0.4275570612;0.3317247292;0.5992135117;-0.8551141223;0.2137802973;0.3968507669;1.0000000237;
1.0246823029;0.4275562674;0.3317341073;0.5992137907;-0.8551125349;0.2137799005;0.3968518831;1.0000000236;
1.0246865693;0.4275644925;0.3316947137;0.5991961769;-0.8551289849;0.2137840130;0.3967814283;1.0000000237;
1.0246865693;0.4275644928;0.3316947129;0.5991961769;-0.8551289856;0.2137840132;0.3967814283;1.0000000237;
1.0246865700;0.4275644942;0.3316947064;0.5991961740;-0.8551289884;0.2137840139;0.3967814167;1.0000000237;
1.0246865700;0.4275644942;0.3316947064;0.5991961740;-0.8551289884;0.2137840139;0.3967814167;1.0000000237;
1.0246965700;0.4275837905;0.3316024535;0.5991549168;-0.8551675810;0.2137936621;0.3966163895;1.0000000238;
1.0247065700;0.4276031291;0.3315103886;0.5991137234;-0.8552062581;0.2138033315;0.3964516170;1.0000000240;
1.0247265700;0.4276419069;0.3313267188;0.5990314910;-0.8552838139;0.2138227206;0.3961226901;1.0000000242;
1.0247665700;0.4277199518;0.3309615709;0.5988677689;-0.8554399037;0.2138617433;0.3954678072;1.0000000247;
1.0248465700;0.4278780080;0.3302401293;0.5985433318;-0.8557560161;0.2139407721;0.3941700696;1.0000000257;
1.0250065700;0.4282018843;0.3288326955;0.5979065450;-0.8564037686;0.2141027116;0.3916229433;1.0000000277;
1.0253265700;0.4288790900;0.3261573284;0.5966809131;-0.8577581800;0.2144413172;0.3867204565;1.0000000316;
1.0259665700;0.4303366299;0.3213452824;0.5944180740;-0.8606732598;0.2151700932;0.3776691748;1.0000000391;
1.0272465700;0.4335370449;0.3137245133;0.5906212846;-0.8670740897;0.2167703139;0.3624821428;1.0000000516;
1.0279091558;0.4352798498;0.3107507088;0.5890253889;-0.8705596996;0.2176417236;0.3560986128;1.0000000567;
1.0279091558;0.4352798498;0.3107507088;0.5890253889;-0.8705596996;0.2176417236;0.3560986128;1.0000000567;
1.0279191558;0.4353063975;0.3107139890;0.5890035228;-0.8706127949;0.2176549975;0.3560111491;1.0000000568;
1.0279291558;0.4353338135;0.3106750209;0.5889815670;-0.8706676269;0.2176687056;0.3559233267;1.0000000569;
1.0279491558;0.4353887127;0.3105972745;0.5889377779;-0.8707774253;0.2176961554;0.3557481717;1.0000000570;
1.0279891558;0.4354984267;0.3104439055;0.5888508890;-0.8709968533;0.2177510129;0.3554006188;1.0000000573;
1.0280691558;0.4357182244;0.3101435899;0.5886797420;-0.8714364488;0.2178609127;0.3547160366;1.0000000578;
1.0282291558;0.4361586396;0.3095698658;0.5883481255;-0.8723172792;0.2180811221;0.3533895816;1.0000000589;
1.0285491558;0.4370407639;0.3085280490;0.5877273015;-0.8740815279;0.2185221879;0.3509063061;1.0000000608;
1.0291891558;0.4387951810;0.3068510758;0.5866526929;-0.8775903620;0.2193994037;0.3466079073;1.0000000638;
1.0304691558;0.4421590041;0.3050017599;0.5851490014;-0.8843180082;0.2210813291;0.3405931907;1.0000000666;
