time;WECCPVVSource_photovoltaics_wecc_reec_PInjPu;WECCPVVSource_photovoltaics_wecc_reec_QInjPu;WECCPVVSource_photovoltaics_injector_terminal_V_re;WECCPVVSource_photovoltaics_injector_terminal_i_re;WECCPVVSource_photovoltaics_injector_terminal_V_im;WECCPVVSource_photovoltaics_injector_terminal_i_im;WECCPVVSource_photovoltaics_pll_omegaPLLPu;
4.062149;0.385558;0.224787;0.448606;-0.771116;0.424114;-0.093443;1.003828;
4.062661;0.385558;0.224358;0.448040;-0.771116;0.424114;-0.094473;1.003632;
4.063685;0.385524;0.223549;0.447027;-0.771047;0.424076;-0.096314;1.003174;
4.065733;0.385286;0.222085;0.445515;-0.770572;0.423814;-0.099064;1.002043;
4.067781;0.384793;0.220803;0.444712;-0.769586;0.423272;-0.100524;1.000685;
4.069829;0.384018;0.219678;0.444641;-0.768036;0.422420;-0.100653;0.999181;
4.071877;0.382951;0.218701;0.445306;-0.765902;0.421246;-0.099444;0.997610;
4.073925;0.381599;0.217877;0.446691;-0.763197;0.419759;-0.096925;0.996044;
4.075973;0.379981;0.217222;0.448764;-0.759963;0.417979;-0.093157;0.994545;
4.078021;0.378130;0.216760;0.451477;-0.756259;0.415943;-0.088224;0.993163;
4.080069;0.376082;0.216518;0.454772;-0.752164;0.413690;-0.082233;0.991938;
4.082117;0.373882;0.216524;0.458585;-0.747764;0.411270;-0.075300;0.990896;
4.084165;0.371574;0.216804;0.462846;-0.743148;0.408731;-0.067553;0.990051;
4.086213;0.369203;0.217381;0.467486;-0.738406;0.406123;-0.059116;0.989407;
4.088261;0.366812;0.218273;0.472438;-0.733623;0.403493;-0.050113;0.988959;
4.090309;0.364438;0.219491;0.477638;-0.728877;0.400882;-0.040658;0.988692;
4.092357;0.362116;0.221041;0.483030;-0.724233;0.398328;-0.030855;0.988588;
4.094405;0.359873;0.222921;0.488562;-0.719746;0.395860;-0.020796;0.988622;
4.096453;0.357729;0.225125;0.494193;-0.715458;0.393502;-0.010558;0.988770;
4.098501;0.355697;0.227641;0.499887;-0.711394;0.391267;-0.000205;0.989003;
4.100549;0.353785;0.230454;0.505617;-0.707570;0.389164;0.010213;0.989296;
4.102597;0.351994;0.233544;0.511362;-0.703987;0.387193;0.020657;0.989625;
4.104645;0.350318;0.236890;0.517107;-0.700636;0.385350;0.031103;0.989968;
4.106693;0.348748;0.240469;0.522843;-0.697497;0.383623;0.041533;0.990307;
4.108741;0.347272;0.244258;0.528565;-0.694544;0.381999;0.051937;0.990627;
4.110789;0.345874;0.248234;0.534272;-0.691748;0.380461;0.062313;0.990918;
4.112837;0.344537;0.252375;0.539965;-0.689074;0.378990;0.072663;0.991173;
4.114885;0.343243;0.256661;0.545645;-0.686487;0.377568;0.082992;0.991388;
4.116933;0.341977;0.261072;0.551317;-0.683953;0.376174;0.093304;0.991564;
4.118981;0.340721;0.265593;0.556983;-0.681441;0.374793;0.103606;0.991700;
4.121029;0.339461;0.270208;0.562647;-0.678923;0.373407;0.113904;0.991802;
4.123077;0.338186;0.274906;0.568311;-0.676373;0.372005;0.124201;0.991874;
4.125125;0.336886;0.279675;0.573975;-0.673772;0.370575;0.134501;0.991923;
4.127173;0.335553;0.284508;0.579641;-0.671106;0.369109;0.144802;0.991954;
4.129221;0.334182;0.289397;0.585307;-0.668365;0.367601;0.155103;0.991973;
4.131269;0.332771;0.294337;0.590970;-0.665542;0.366048;0.165401;0.991986;
4.133317;0.331318;0.299324;0.596629;-0.662636;0.364450;0.175689;0.991999;
4.135365;0.329824;0.304354;0.602278;-0.659648;0.362807;0.185960;0.992015;
4.137413;0.328292;0.309425;0.607913;-0.656584;0.361121;0.196205;0.992037;
4.139461;0.326724;0.314532;0.613529;-0.653448;0.359396;0.206416;0.992069;
4.141509;0.325124;0.319675;0.619121;-0.650249;0.357637;0.216584;0.992110;
4.143557;0.323497;0.324851;0.624685;-0.646995;0.355847;0.226699;0.992163;
4.145605;0.321847;0.330057;0.630214;-0.643694;0.354031;0.236753;0.992227;
4.147653;0.320177;0.335291;0.635705;-0.640354;0.352195;0.246737;0.992300;
4.149701;0.318491;0.340551;0.641154;-0.636983;0.350340;0.256643;0.992382;
4.151749;0.316793;0.345832;0.646556;-0.633587;0.348473;0.266466;0.992471;
4.153797;0.315085;0.351133;0.651910;-0.630171;0.346594;0.276199;0.992566;
4.155845;0.313370;0.356449;0.657212;-0.626739;0.344707;0.285839;0.992665;
4.157893;0.311648;0.361779;0.662460;-0.623295;0.342812;0.295382;0.992766;
4.159941;0.309920;0.367117;0.667654;-0.619840;0.340912;0.304825;0.992867;
4.161989;0.308187;0.372462;0.672791;-0.616375;0.339006;0.314166;0.992968;
4.164037;0.306450;0.377808;0.677872;-0.612899;0.337095;0.323404;0.993067;
4.166085;0.304707;0.383155;0.682896;-0.609413;0.335177;0.332539;0.993164;
