time;WECCPV_photovoltaics_injector_PInjPu;WECCPV_photovoltaics_injector_QInjPu;WECCPV_photovoltaics_injector_terminal_V_re;WECCPV_photovoltaics_injector_terminal_i_re;WECCPV_photovoltaics_injector_terminal_V_im;WECCPV_photovoltaics_injector_terminal_i_im;WECCPV_photovoltaics_pll_omegaPLLPu;
1.3826292914;0.1701607436;0.6620367632;0.6489998615;-0.3403214872;0.0510489262;0.9933187278;1.0000000000;
1.4010612914;0.1701597237;0.6620369071;0.6489999277;-0.3403194475;0.0510486203;0.9933191691;1.0000000000;
1.4194932914;0.1701593927;0.6620368967;0.6489999384;-0.3403187854;0.0510485209;0.9933192407;1.0000000000;
1.4563572914;0.1701594402;0.6620368176;0.6489999217;-0.3403188804;0.0510485352;0.9933191295;1.0000000000;
1.4932212914;0.1701597125;0.6620367571;0.6489998999;-0.3403194251;0.0510486169;0.9933189839;1.0000000000;
1.5300852914;0.1701598315;0.6620367468;0.6489998934;-0.3403196630;0.0510486526;0.9933189406;1.0000000000;
1.5669492914;0.1701598312;0.6620367560;0.6489998951;-0.3403196623;0.0510486525;0.9933189522;1.0000000000;
1.6038132914;0.1701598046;0.6620367633;0.6489998975;-0.3403196091;0.0510486445;0.9933189681;1.0000000000;
1.6406772914;0.1701597910;0.6620367650;0.6489998984;-0.3403195819;0.0510486404;0.9933189738;1.0000000000;
1.7144052914;0.1701597886;0.6620367645;0.6489998984;-0.3403195772;0.0510486397;0.9933189737;1.0000000000;
1.7881332914;0.1701597928;0.6620367634;0.6489998980;-0.3403195856;0.0510486410;0.9933189714;1.0000000000;
1.8618612914;0.1701597942;0.6620367633;0.6489998979;-0.3403195884;0.0510486414;0.9933189708;1.0000000000;
